,name,mana_cost,cmc,oracle_text,power,toughness,prices,set
9760,Garruk's Gorehorn,{4}{G},5.0,_,7,3,0.04,m21
9761,Rockslide Elemental,{2}{R},3.0,First strike Whenever another creature dies  you may put a +1/+1 counter on This Card.,1,1,0.20,hop
9762,Necropolis,{5},5.0,Defender (This creature can't attack.) Exile a creature card from your graveyard: Put X +0/+1 counters on This Card  where X is the exiled card's mana value.,0,1,2.34,drk
9763,Serrated Biskelion,{3},3.0,{T}: Put a -1/-1 counter on This Card and a -1/-1 counter on target creature.,2,2,0.22,ddf
9764,Tomb Blade,{4}{B}{B},6.0,Flying Whenever This Card deals combat damage to a player  that player loses life equal to the number of creatures they control unless they sacrifice a creature. Unearth {6}{B}{B},5,4,0.17,40k
9765,Stromkirk Bloodthief,{2}{B},3.0,At the beginning of your end step  if an opponent lost life this turn  put a +1/+1 counter on target Vampire you control.,2,2,0.05,mid
9766,Endurance,{1}{G}{G},3.0,Flash Reach When This Card enters the battlefield  up to one target player puts all the cards from their graveyard on the bottom of their library in a random order. Evoke—Exile a green card from your hand.,3,4,32.52,mh2
9767,Ghost-Lit Drifter,{2}{U},3.0,Flying {2}{U}: Another target creature gains flying until end of turn. Channel — {X}{U}  Discard This Card: X target creatures gain flying until end of turn.,2,2,0.02,mh2
9768,Disciple of the Vault,{B},1.0,Whenever an artifact is put into a graveyard from the battlefield  you may have target opponent lose 1 life.,1,1,2.06,2xm
9769,Soot Imp,{1}{B}{B},3.0,Flying Whenever a player casts a nonblack spell  that player loses 1 life.,1,2,0.28,dvd
9770,Aven Initiate,{3}{U},4.0,Flying Embalm {6}{U} ({6}{U}  Exile this card from your graveyard: Create a token that's a copy of it  except it's a white Zombie Bird Warrior with no mana cost. Embalm only as a sorcery.),3,2,0.02,2x2
9771,Lorescale Coatl,{1}{G}{U},3.0,Whenever you draw a card  put a +1/+1 counter on This Card.,2,2,0.07,m21
9772,Dragon,_,0.0,Flying,4,4,0.15,tdmu
9773,"Circu, Dimir Lobotomist",{2}{U}{B},4.0,Whenever you cast a blue spell  exile the top card of target player's library. Whenever you cast a black spell  exile the top card of target player's library. Your opponents can't cast spells with the same name as a card exiled with This Card.,2,3,3.07,rav
9774,Ballroom Brawlers,{3}{W}{W},5.0,Whenever This Card attacks  This Card and up to one other target creature you control both gain your choice of first strike or lifelink until end of turn.,3,5,0.02,snc
9775,Saltfield Recluse,{2}{W},3.0,{T}: Target creature gets -2/-0 until end of turn.,1,2,0.02,tsr
9776,Looter il-Kor,{1}{U},2.0,Shadow (This creature can block or be blocked by only creatures with shadow.) Whenever This Card deals damage to an opponent  draw a card  then discard a card.,1,1,0.08,ncc
9777,"Bjorna, Nightfall Alchemist",{U}{R},2.0,{T}  Sacrifice an artifact: This Card deals 1 damage to target creature. Goad that creature. (Until your next turn  that creature attacks each combat if able and attacks a player other than you if able.) Friends forever (You can have two commanders if both have friends forever.),1,3,0.25,slx
9778,Thermopod,{4}{R},5.0,{S}: This Card gains haste until end of turn. ({S} can be paid with one mana from a snow source.) Sacrifice a creature: Add {R}.,4,3,0.78,csp
9779,Quicksilver Elemental,{3}{U}{U},5.0,{U}: This Card gains all activated abilities of target creature until end of turn. (If any of the abilities use that creature's name  use this creature's name instead.) You may spend blue mana as though it were mana of any color to pay the activation costs of This Card's abilities.,3,4,0.51,mrd
9780,Elf Druid,_,0.0,{T}: Add {G}.,1,1,2.71,tcma
9781,Metathran Elite,{1}{U}{U},3.0,This Card can't be blocked as long as it's enchanted.,2,3,0.11,uds
9782,Bloodmad Vampire,{2}{R},3.0,Whenever This Card deals combat damage to a player  put a +1/+1 counter on it. Madness {1}{R} (If you discard this card  discard it into exile. When you do  cast it for its madness cost or put it into your graveyard.),4,1,0.14,soi
9783,Glintwing Invoker,{4}{U},5.0,{7}{U}: This Card gets +3/+3 and gains flying until end of turn.,3,3,0.13,lgn
9784,Brazen Buccaneers,{3}{R},4.0,Haste When This Card enters the battlefield  it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise  put a +1/+1 counter on this creature  then put the card back or put it into your graveyard.),2,2,0.03,xln
9785,Eternal Scourge,{3},3.0,You may cast This Card from exile. When This Card becomes the target of a spell or ability an opponent controls  exile This Card.,3,3,1.12,emn
9786,Giant Cockroach,{3}{B},4.0,_,4,2,0.05,9ed
9787,Crackling Drake,{U}{U}{R}{R},4.0,Flying This Card's power is equal to the total number of instant and sorcery cards you own in exile and in your graveyard. When This Card enters the battlefield  draw a card.,*,4,0.10,c21
9788,Benevolent Bodyguard,{W},1.0,Sacrifice This Card: Target creature you control gains protection from the color of your choice until end of turn.,1,1,0.23,ema
9789,Forcemage Advocate,{1}{G},2.0,{T}: Return target card from an opponent's graveyard to their hand. Put a +1/+1 counter on target creature.,2,1,0.20,jud
9790,Warden of the Woods,{4}{G}{G},6.0,Vigilance (Attacking doesn't cause this creature to tap.) Whenever This Card becomes the target of a spell or ability an opponent controls  you may draw two cards.,5,7,0.05,m21
9791,Keeper of Fables,{3}{G}{G},5.0,Whenever one or more non-Human creatures you control deal combat damage to a player  draw a card.,4,5,0.19,znc
9792,Webweaver Changeling,{3}{G}{G},5.0,Changeling (This card is every creature type.) Reach When This Card enters the battlefield  if there are three or more creature cards in your graveyard  you gain 5 life.,3,5,0.04,2x2
9793,Molting Harpy,{B},1.0,Flying At the beginning of your upkeep  sacrifice This Card unless you pay {2}.,2,1,0.19,mmq
9794,Ignoble Hierarch,{G},1.0,Exalted (Whenever a creature you control attacks alone  that creature gets +1/+1 until end of turn.) {T}: Add {B}  {R}  or {G}.,0,1,3.05,mh2
9795,"Alharu, Solemn Ritualist",{4}{W},5.0,When This Card enters the battlefield  put a +1/+1 counter on each of up to two other target creatures. Whenever a nontoken creature you control with a +1/+1 counter on it dies  create a 1/1 white Spirit creature token with flying. Partner (You can have two commanders if both have partner.),3,3,0.07,cmr
9796,Chaos Harlequin,{2}{R}{R},4.0,{R}: Exile the top card of your library. If that card is a land card  This Card gets -4/-0 until end of turn. Otherwise  This Card gets +2/+0 until end of turn.,2,4,0.96,all
9797,Jeskai Student,{1}{W},2.0,Prowess (Whenever you cast a noncreature spell  this creature gets +1/+1 until end of turn.),1,3,0.06,ktk
9798,Demanding Dragon,{3}{R}{R},5.0,Flying When This Card enters the battlefield  it deals 5 damage to target opponent unless that player sacrifices a creature.,5,5,0.20,afc
9799,Sunscape Battlemage,{2}{W},3.0,Kicker {1}{G} and/or {2}{U} (You may pay an additional {1}{G} and/or {2}{U} as you cast this spell.) When This Card enters the battlefield  if it was kicked with its {1}{G} kicker  destroy target creature with flying. When This Card enters the battlefield  if it was kicked with its {2}{U} kicker  draw two cards.,2,2,0.07,dde
9800,Sunscorch Regent,{3}{W}{W},5.0,Flying Whenever an opponent casts a spell  put a +1/+1 counter on This Card and you gain 1 life.,4,3,0.66,c21
9801,Elvish Berserker,{G},1.0,Whenever This Card becomes blocked  it gets +1/+1 until end of turn for each creature blocking it.,1,1,0.12,10e
9802,Avalanche Riders,{3}{R},4.0,Haste Echo {3}{R} (At the beginning of your upkeep  if this came under your control since the beginning of your last upkeep  sacrifice it unless you pay its echo cost.) When This Card enters the battlefield  destroy target land.,2,2,0.35,tsb
9803,Sky-Eel School,{3}{U}{U},5.0,Flying When This Card enters the battlefield  draw a card  then discard a card.,3,3,0.04,som
9804,Reckless Wurm,{3}{R}{R},5.0,Trample Madness {2}{R} (If you discard this card  discard it into exile. When you do  cast it for its madness cost or put it into your graveyard.),4,4,0.05,tsr
9805,Tithe Taker,{1}{W},2.0,During your turn  spells your opponents cast cost {1} more to cast and abilities your opponents activate cost {1} more to activate unless they're mana abilities. Afterlife 1 (When this creature dies  create a 1/1 white and black Spirit creature token with flying.),2,1,0.51,rna
9806,Forked-Branch Garami,{3}{G}{G},5.0,Soulshift 4  soulshift 4 (When this creature dies  you may return up to two target Spirit cards with mana value 4 or less from your graveyard to your hand.),4,4,0.22,bok
9807,Ember Weaver,{2}{G},3.0,Reach (This creature can block creatures with flying.) As long as you control a red permanent  This Card gets +1/+0 and has first strike.,2,3,0.04,a25
9808,Blinding Drone,{1}{U},2.0,Devoid (This card has no color.) {C}  {T}: Tap target creature. ({C} represents colorless mana.),1,3,0.03,ogw
9809,Skirk Commando,{1}{R}{R},3.0,Whenever This Card deals combat damage to a player  you may have it deal 2 damage to target creature that player controls. Morph {2}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.),2,1,0.03,a25
9810,Timberpack Wolf,{1}{G},2.0,This Card gets +1/+1 for each other creature you control named This Card.,2,2,0.05,a25
9811,Viridian Emissary,{1}{G},2.0,When This Card dies  you may search your library for a basic land card  put it onto the battlefield tapped  then shuffle.,2,1,0.14,cma
9812,Coastline Marauders,{2}{R},3.0,Trample Whenever This Card attacks  it gets +1/+0 until end of turn for each land defending player controls. Encore {4}{R}{R} ({4}{R}{R}  Exile this card from your graveyard: For each opponent  create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.),0,3,0.19,cmr
9813,Winding Constrictor,{B}{G},2.0,If one or more counters would be put on an artifact or creature you control  that many plus one of each of those kinds of counters are put on that permanent instead. If you would get one or more counters  you get that many plus one of each of those kinds of counters instead.,2,3,0.41,aer
9814,Wurmskin Forger,{5}{G}{G},7.0,When This Card enters the battlefield  distribute three +1/+1 counters among one  two  or three target creatures.,2,2,0.06,mrd
9815,Coalition Honor Guard,{3}{W},4.0,While an opponent is choosing targets as part of casting a spell they control or activating an ability they control  that player must choose at least one Flagbearer on the battlefield if able.,2,4,0.05,ema
9816,Adder-Staff Boggart,{1}{R},2.0,When This Card enters the battlefield  clash with an opponent. If you win  put a +1/+1 counter on This Card. (Each clashing player reveals the top card of their library  then puts that card on the top or bottom. A player wins if their card had a higher mana value.),2,1,0.08,lrw
9817,Control Win Condition,{4}{U}{U},6.0,This spell can't be countered. Shroud This Card's power and toughness are each equal to the number of turns you've taken this game. (If this is in your deck  please keep track of your turns. This means you  Mark.),*,*,0.49,cmb2
9818,Enthusiastic Mechanaut,{U}{R},2.0,Flying Artifact spells you cast cost {1} less to cast.,2,2,0.16,neo
9819,Krosan Constrictor,{3}{G},4.0,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.) {T}: Target black creature gets -2/-0 until end of turn.,2,2,0.10,tor
9820,Vizier of Many Faces,_,0.0,You may have This Card enter the battlefield as a copy of any creature on the battlefield  except has no mana cost  it's white  and it's a Zombie in addition to its other types.,0,0,0.97,takh
9821,Crude Rampart,{3}{W},4.0,Defender (This creature can't attack.) Morph {4}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.),4,5,0.14,ons
9822,"Queza, Augur of Agonies",{1}{W}{U}{B},4.0,Whenever you draw a card  target opponent loses 1 life and you gain 1 life.,3,4,0.08,snc
9823,"Chishiro, the Shattered Blade",{2}{R}{G},4.0,Whenever an Aura or Equipment enters the battlefield under your control  create a 2/2 red Spirit creature token with menace. At the beginning of your end step  put a +1/+1 counter on each modified creature you control. (Equipment  Auras you control  and counters are modifications.),4,4,0.25,nec
9824,Enchanted Being,{1}{W}{W},3.0,Prevent all combat damage that would be dealt to This Card by enchanted creatures.,2,2,0.67,leg
9825,Goblin Striker,{1}{R},2.0,First strike  haste,1,1,0.11,mrd
9826,Obsidian Charmaw,{3}{R}{R},5.0,This spell costs {1} less to cast for each land your opponents control that could produce {C}. Flying When This Card enters the battlefield  destroy target nonbasic land an opponent controls.,4,4,0.27,mh2
9827,Bloom Hulk,{3}{G},4.0,When This Card enters the battlefield  proliferate. (Choose any number of permanents and/or players  then give each another counter of each kind already there.),4,4,0.07,war
9828,Bane of the Living,{2}{B}{B},4.0,Morph {X}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When This Card is turned face up  all creatures get -X/-X until end of turn.,4,3,0.15,c19
9829,Esperzoa,{2}{U},3.0,Flying At the beginning of your upkeep  return an artifact you control to its owner's hand.,4,3,0.05,2xm
9830,Sunrise Sovereign,{5}{R},6.0,Other Giant creatures you control get +2/+2 and have trample.,5,5,0.46,cm2
9831,Suq'Ata Firewalker,{1}{U}{U},3.0,This Card can't be the target of red spells or abilities from red sources. {T}: This Card deals 1 damage to any target.,0,1,0.28,mir
9832,Dowsing Shaman,{4}{G},5.0,{2}{G}  {T}: Return target enchantment card from your graveyard to your hand.,3,4,0.19,pca
9833,Pewter Golem,{5},5.0,{1}{B}: Regenerate This Card.,4,2,0.15,mrd
9834,Thundering Spineback,{5}{G}{G},7.0,Other Dinosaurs you control get +1/+1. {5}{G}: Create a 3/3 green Dinosaur creature token with trample.,5,5,0.20,jmp
9835,Valiant Rescuer,{1}{W},2.0,Whenever you cycle another card for the first time each turn  create a 1/1 white Human Soldier creature token. Cycling {2} ({2}  Discard this card: Draw a card.),3,1,0.06,iko
9836,Pentavite,_,0.0,Flying,1,1,0.13,tcm2
9837,Arctic Wolves,{3}{G}{G},5.0,Cumulative upkeep {2} (At the beginning of your upkeep  put an age counter on this permanent  then sacrifice it unless you pay its upkeep cost for each age counter on it.) When This Card enters the battlefield  draw a card.,4,5,0.19,wth
9838,Phoberos Reaver,_,0.0,Haste This Card attacks each turn if able.,2,3,0.17,tbth
9839,Cytoplast Root-Kin,{2}{G}{G},4.0,Graft 4 (This creature enters the battlefield with four +1/+1 counters on it. Whenever another creature enters the battlefield  you may move a +1/+1 counter from this creature onto it.) When This Card enters the battlefield  put a +1/+1 counter on each other creature you control with a +1/+1 counter on it. {2}: Move a +1/+1 counter from target creature you control onto This Card.,0,0,0.23,mm2
9840,Chivalrous Chevalier,{4}{W},5.0,Flying When This Card enters the battlefield  return a creature you control to its owner's hand unless you compliment an opponent.,3,3,0.10,ust
9841,Saprazzan Raider,{2}{U},3.0,When This Card becomes blocked  return it to its owner's hand.,1,2,0.09,mmq
9842,Corpsejack Menace,{2}{B}{G},4.0,If one or more +1/+1 counters would be put on a creature you control  twice that many +1/+1 counters are put on it instead.,4,4,0.96,cm2
9843,Thoughtbound Phantasm,{U},1.0,Defender Whenever you surveil  put a +1/+1 counter on This Card. As long as This Card has three or more +1/+1 counters on it  it can attack as though it didn't have defender.,2,2,0.10,grn
9844,Ethersworn Adjudicator,{4}{U},5.0,Flying {1}{W}{B}  {T}: Destroy target creature or enchantment. {2}{U}: Untap This Card.,4,4,1.48,c16
9845,Resolute Watchdog,{W},1.0,"Defender {1}  Sacrifice This Card: Target creature you control gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",1,3,0.22,rna
9846,"Alena, Kessig Trapper",{4}{R},5.0,First strike {T}: Add an amount of {R} equal to the greatest power among creatures you control that entered the battlefield this turn. Partner (You can have two commanders if both have partner.),4,3,0.16,cmr
9847,Dedicated Martyr,{W},1.0,{W}  Sacrifice This Card: You gain 3 life.,1,1,0.07,ody
9848,Shaman of Forgotten Ways,{2}{G},3.0,{T}: Add two mana in any combination of colors. Spend this mana only to cast creature spells. Formidable — {9}{G}{G}  {T}: Each player's life total becomes the number of creatures they control. Activate only if creatures you control have total power 8 or greater.,2,3,7.66,dtk
9849,"Syr Gwyn, Hero of Ashvale",{3}{R}{W}{B},6.0,Vigilance  menace Whenever an equipped creature you control attacks  you draw a card and you lose 1 life. Equipment you control have equip Knight {0}.,5,5,1.01,eld
9850,Masterful Ninja,{2}{B},3.0,Haste Reveal This Card from your hand: This Card is on the battlefield and in your hand until end of turn. {1}{B}: This Card gets +1/+1 until end of turn.,1,1,0.27,ust
9851,"Roalesk, Apex Hybrid",{2}{G}{G}{U},5.0,Flying  trample When This Card enters the battlefield  put two +1/+1 counters on another target creature you control. When Roalesk dies  proliferate  then proliferate again. (Choose any number of permanents and/or players  then give each another counter of each kind already there. Then do it again.),4,5,0.50,ncc
9852,Cultivator of Blades,{3}{G}{G},5.0,Fabricate 2 (When this creature enters the battlefield  put two +1/+1 counters on it or create two 1/1 colorless Servo artifact creature tokens.) Whenever This Card attacks  you may have other attacking creatures get +X/+X until end of turn  where X is This Card's power.,1,1,0.16,khc
9853,"Bane, Lord of Darkness",{1}{W}{U}{B},4.0,As long as your life total is less than or equal to half your starting life total  This Card has indestructible. Whenever another nontoken creature you control dies  target opponent may have you draw a card. If they don't  you may put a creature card with equal or lesser toughness from your hand onto the battlefield.,5,2,0.19,clb
9854,"Keruga, the Macrosage",{3}{G/U}{G/U},5.0,Companion — Your starting deck contains only cards with mana value 3 or greater and land cards. (If this card is your chosen companion  you may put it into your hand from outside the game for {3} any time you could cast a sorcery.) When This Card enters the battlefield  draw a card for each other permanent you control with mana value 3 or greater.,5,4,0.25,iko
9855,Vineshaper Mystic,{2}{G},3.0,When This Card enters the battlefield  put a +1/+1 counter on each of up to two target Merfolk you control.,1,3,0.07,xln
9856,Cyclops Gladiator,{1}{R}{R}{R},4.0,Whenever This Card attacks  you may have it deal damage equal to its power to target creature defending player controls. If you do  that creature deals damage equal to its power to This Card.,4,4,0.13,m11
9857,Dragon's Eye Savants,{1}{U},2.0,Morph—Reveal a blue card in your hand. (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When This Card is turned face up  look at target opponent's hand.,0,6,0.10,a25
9858,Opaline Unicorn,{3},3.0,{T}: Add one mana of any color.,1,2,0.11,cn2
9859,Steward of Valeron,{G}{W},2.0,Vigilance {T}: Add {G}.,2,2,0.26,ddg
9860,Griffin Dreamfinder,{3}{W}{W},5.0,Flying When This Card enters the battlefield  return target enchantment card from your graveyard to your hand.,1,4,0.08,bng
9861,"Ellyn Harbreeze, Busybody",{3}{W},4.0,{T}: Look at the top X cards of your library  where X is the number of tokens you created this turn. Put one of those cards into your hand and the rest on the bottom of your library in a random order. Choose a Background (You can have a Background as a second commander.),2,4,0.04,clb
9862,Suspicious Bookcase,{2},2.0,Defender {3}  {T}: Target creature can't be blocked this turn.,0,4,0.07,snc
9863,Thalakos Sentry,{1}{U},2.0,Shadow (This creature can block or be blocked by only creatures with shadow.),1,2,0.12,tmp
9864,Dumb Ass,{2}{R},3.0,At the beginning of your upkeep  flip a coin. If you lose the flip  target opponent chooses whether This Card attacks this turn.,3.5,2,0.24,unh
9865,Murasa Rootgrazer,{G}{W},2.0,Vigilance {T}: You may put a basic land card from your hand onto the battlefield. {T}: Return target basic land you control to its owner's hand.,2,3,0.08,znr
9866,Deepwood Wolverine,{G},1.0,Whenever This Card becomes blocked  it gets +2/+0 until end of turn.,1,1,0.10,mmq
9867,Kiln Walker,{3},3.0,Whenever This Card attacks  it gets +3/+0 until end of turn.,0,3,0.08,nph
9868,Giant Ankheg,{6}{G}{G},8.0,Trample Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls  counter it unless that player pays {2}.) Other creatures you control have trample and ward {2}.,8,8,0.12,clb
9869,Teller of Tales,{3}{U}{U},5.0,Flying Whenever you cast a Spirit or Arcane spell  you may tap or untap target creature.,3,3,0.11,chk
9870,Crenellated Wall,{4},4.0,Defender (This creature can't attack.) {T}: Target creature gets +0/+4 until end of turn.,0,4,0.20,mmq
9871,Thraben Inspector,{W},1.0,"When This Card enters the battlefield  investigate. (Create a Clue token. It's an artifact with ""{2}  Sacrifice this artifact: Draw a card."")",1,2,0.26,2xm
9872,Phyrexian Colossus,{7},7.0,This Card doesn't untap during your untap step. Pay 8 life: Untap This Card. This Card can't be blocked except by three or more creatures.,8,8,0.24,dde
9873,Briar Hydra,{5}{G},6.0,Trample Domain — Whenever This Card deals combat damage to a player  put X +1/+1 counters on target creature you control  where X is the number of basic land types among lands you control.,6,6,0.18,dmu
9874,"Abdel Adrian, Gorion's Ward",{4}{W},5.0,When This Card enters the battlefield  exile any number of other nonland permanents you control until Abdel Adrian leaves the battlefield. Create a 1/1 white Soldier creature token for each permanent exiled this way. Choose a Background (You can have a Background as a second commander.),4,4,0.09,clb
9875,Southern Paladin,{2}{W}{W},4.0,{W}{W}  {T}: Destroy target red permanent.,3,3,0.44,7ed
9876,Despoiler of Souls,{B}{B},2.0,This Card can't block. {B}{B}  Exile two other creature cards from your graveyard: Return This Card from your graveyard to the battlefield.,3,1,0.11,ddr
9877,Eron the Relentless,{3}{R}{R},5.0,Haste {R}{R}{R}: Regenerate This Card.,5,2,0.14,tsb
9878,Tezzeret's Strider,{3},3.0,As long as you control a Tezzeret planeswalker  This Card has menace. (It can't be blocked except by two or more creatures.),3,1,0.14,m19
9879,Elspeth's Devotee,{2}{W}{W},4.0,When This Card enters the battlefield  you may search your library and/or graveyard for a card named Elspeth  Undaunted Hero  reveal it  and put it into your hand. If you search your library this way  shuffle.,3,3,0.09,thb
9880,Mana Leech,{2}{B},3.0,You may choose not to untap This Card during your untap step. {T}: Tap target land. It doesn't untap during its controller's untap step for as long as This Card remains tapped.,1,1,0.20,usg
9881,Bloodsoaked Champion,{B},1.0,This Card can't block. Raid — {1}{B}: Return This Card from your graveyard to the battlefield. Activate only if you attacked this turn.,2,1,0.10,clb
9882,Pallimud,{2}{R},3.0,As This Card enters the battlefield  choose an opponent. This Card's power is equal to the number of tapped lands the chosen player controls.,*,3,0.24,tmp
9883,Goblin Glory Chaser,{R},1.0,Renown 1 (When this creature deals combat damage to a player  if it isn't renowned  put a +1/+1 counter on it and it becomes renowned.) As long as This Card is renowned  it has menace. (It can't be blocked except by two or more creatures.),1,1,0.21,ddt
9884,Ranger-Captain of Eos,{1}{W}{W},3.0,When This Card enters the battlefield  you may search your library for a creature card with mana value 1 or less  reveal it  put it into your hand  then shuffle. Sacrifice This Card: Your opponents can't cast noncreature spells this turn.,3,3,18.13,mh1
9885,Siege Behemoth,{5}{G}{G},7.0,Hexproof As long as This Card is attacking  for each creature you control  you may have that creature assign its combat damage as though it weren't blocked.,7,4,1.79,cma
9886,Felidar Cub,{1}{W},2.0,Sacrifice This Card: Destroy target enchantment.,2,2,0.13,bfz
9887,"Arixmethes, Slumbering Isle",{2}{G}{U},4.0,This Card enters the battlefield tapped with five slumber counters on it. As long as Arixmethes has a slumber counter on it  it's a land. (It's not a creature.) Whenever you cast a spell  you may remove a slumber counter from Arixmethes. {T}: Add {G}{U}.,12,12,5.74,2xm
9888,Vigilant Baloth,{3}{G}{G},5.0,Vigilance (Attacking doesn't cause this creature to tap.),5,5,0.08,m19
9889,Beast,_,0.0,_,8,8,12.97,tala
9890,Dwarven Demolition Team,{2}{R},3.0,{T}: Destroy target Wall.,1,1,0.17,8ed
9891,Kefnet the Mindful,{2}{U},3.0,Flying  indestructible This Card can't attack or block unless you have seven or more cards in hand. {3}{U}: Draw a card  then you may return a land you control to its owner's hand.,5,5,0.51,akh
9892,Deathbringer Liege,{2}{W/B}{W/B}{W/B},5.0,Other white creatures you control get +1/+1. Other black creatures you control get +1/+1. Whenever you cast a white spell  you may tap target creature. Whenever you cast a black spell  you may destroy target creature if it's tapped.,3,4,0.68,2x2
9893,Sunscourge Champion,_,0.0,When This Card enters the battlefield  you gain life equal to its power.,4,4,0.06,thou
9894,"Glissa, the Traitor",{B}{G}{G},3.0,First strike  deathtouch Whenever a creature an opponent controls dies  you may return target artifact card from your graveyard to your hand.,3,3,3.46,mbs
9895,Pensive Minotaur,{2}{R},3.0,_,2,3,0.04,jou
9896,Baloth Pup,{1}{G},2.0,This Card has trample as long as it has a +1/+1 counter on it.,3,1,0.08,ogw
9897,Cloudfin Raptor,{U},1.0,Flying Evolve (Whenever a creature enters the battlefield under your control  if that creature has greater power or toughness than this creature  put a +1/+1 counter on this creature.),0,1,0.11,gtc
9898,Undergrowth Champion,{1}{G}{G},3.0,If damage would be dealt to This Card while it has a +1/+1 counter on it  prevent that damage and remove a +1/+1 counter from This Card. Landfall — Whenever a land enters the battlefield under your control  put a +1/+1 counter on This Card.,2,2,1.40,bfz
9899,"Xenagos, God of Revels",{3}{R}{G},5.0,Indestructible As long as your devotion to red and green is less than seven  Xenagos isn't a creature. At the beginning of combat on your turn  another target creature you control gains haste and gets +X/+X until end of turn  where X is that creature's power.,6,5,13.70,bng
9900,Kodama of the East Tree,{4}{G}{G},6.0,Reach Whenever another permanent enters the battlefield under your control  if it wasn't put onto the battlefield with this ability  you may put a permanent card with equal or lesser mana value from your hand onto the battlefield. Partner (You can have two commanders if both have partner.),6,6,4.48,cmr
9901,Resilient Wanderer,{2}{W}{W},4.0,First strike Discard a card: This Card gains protection from the color of your choice until end of turn.,2,3,0.15,ody
9902,Blinding Angel,{3}{W}{W},5.0,Flying (This creature can't be blocked except by creatures with flying or reach.) Whenever This Card deals combat damage to a player  that player skips their next combat phase.,2,4,3.25,9ed
9903,"Jan Jansen, Chaos Crafter",{R}{W}{B},3.0,Haste {T}  Sacrifice an artifact creature: Create two Treasure tokens. {T}  Sacrifice a noncreature artifact: Create two 1/1 colorless Construct artifact creature tokens.,3,3,0.18,clb
9904,Epistolary Librarian,{2}{W}{U},4.0,Veil of Time — Whenever This Card attacks  you may cast a spell with mana value X or less from your hand without paying its mana cost  where X is the number of attacking creatures.,3,4,0.33,40k
9905,Arashin Sovereign,{5}{G}{W},7.0,Flying When This Card dies  you may put it on the top or bottom of its owner's library.,6,6,0.17,dtk
9906,Vizier of the Anointed,{3}{U},4.0,When This Card enters the battlefield  you may search your library for a creature card with eternalize or embalm  put that card into your graveyard  then shuffle. Whenever you activate an eternalize or embalm ability  draw a card.,2,4,0.03,hou
9907,Conclave Naturalists,{4}{G},5.0,When This Card enters the battlefield  you may destroy target artifact or enchantment.,4,4,0.07,2xm
9908,Priest of Yawgmoth,{1}{B},2.0,{T}  Sacrifice an artifact: Add an amount of {B} equal to the sacrificed artifact's mana value.,1,2,4.23,atq
9909,Silvergill Adept,{1}{U},2.0,As an additional cost to cast this spell  reveal a Merfolk card from your hand or pay {3}. When This Card enters the battlefield  draw a card.,2,1,0.24,rix
9910,Inescapable Brute,{5}{R},6.0,Wither (This deals damage to creatures in the form of -1/-1 counters.) This Card must be blocked if able.,3,3,0.06,shm
9911,Wild Colos,{2}{R},3.0,Haste,2,2,0.13,uds
9912,Root Sliver,{3}{G},4.0,This spell can't be countered. Sliver spells can't be countered.,2,2,5.46,lgn
9913,Elemental,_,0.0,_,1,0,0.46,tddt
9914,Ghostflame Sliver,{B}{R},2.0,All Slivers are colorless.,2,2,0.35,tsp
9915,Riptide Turtle,{1}{U},2.0,Flash Defender,0,5,0.09,thb
9916,"Iname, Life Aspect",{4}{G}{G},6.0,When This Card dies  you may exile it. If you do  return any number of target Spirit cards from your graveyard to your hand.,4,4,0.49,chk
9917,Devoted Druid,{1}{G},2.0,{T}: Add {G}. Put a -1/-1 counter on This Card: Untap This Card.,0,2,0.49,2x2
9918,Rix Maadi Guildmage,{B}{R},2.0,{B}{R}: Target blocking creature gets -1/-1 until end of turn. {B}{R}: Target player who lost life this turn loses 1 life.,2,2,0.06,rtr
9919,Kaalia of the Vast,{1}{R}{W}{B},4.0,Flying Whenever This Card attacks an opponent  you may put an Angel  Demon  or Dragon creature card from your hand onto the battlefield tapped and attacking that opponent.,2,2,7.22,2x2
9920,"Chainer, Dementia Master",{3}{B}{B},5.0,Nightmare creatures get +1/+1. {B}{B}{B}  Pay 3 life: Put target creature card from a graveyard onto the battlefield under your control. That creature is black and is a Nightmare in addition to its other creature types. When This Card leaves the battlefield  exile all Nightmares.,3,3,13.71,tor
9921,Dwarven Lightsmith,{5}{W},6.0,Assist (Another player can pay up to {5} of this spell's cost.) When This Card enters the battlefield  creatures your team controls get +1/+1 until end of turn.,3,4,0.03,bbd
9922,Herald of Faith,{3}{W}{W},5.0,Flying Whenever This Card attacks  you gain 2 life.,4,3,0.09,m19
9923,Luminarch Aspirant,{1}{W},2.0,At the beginning of combat on your turn  put a +1/+1 counter on target creature you control.,1,1,0.95,ncc
