,name,mana_cost,cmc,oracle_text,prices,set
7877,Cool Fluffy Loxodon,_,0.0,{TK}{TK} — When this permanent leaves the battlefield  draw a card. {TK}{TK}{TK}{TK}{TK} — Whenever a creature enters the battlefield under your control  this permanent becomes a 13/13 Eldrazi creature in addition to its other types until end of turn. {TK}{TK} — 4/2 {TK}{TK}{TK}{TK} — 5/6,0.23,sunf
7878,Doomfall,{2}{B},3.0,Choose one — • Target opponent exiles a creature they control. • Target opponent reveals their hand. You choose a nonland card from it. Exile that card.,0.05,hou
7879,Kaito Shizuki,{1}{U}{B},3.0,"At the beginning of your end step  if This Card entered the battlefield this turn  he phases out. +1: Draw a card. Then discard a card unless you attacked this turn. −2: Create a 1/1 blue Ninja creature token with ""This creature can't be blocked."" −7: You get an emblem with ""Whenever a creature you control deals combat damage to a player  search your library for a blue or black creature card  put it onto the battlefield  then shuffle.""",4.35,neo
7880,War's Toll,{3}{R},4.0,Whenever an opponent taps a land for mana  tap all lands that player controls. If a creature an opponent controls attacks  all creatures that opponent controls attack if able.,3.86,bbd
7881,Plagiarize,{3}{U},4.0,Until end of turn  if target player would draw a card  instead that player skips that draw and you draw a card.,0.33,10e
7882,Piston Sledge,{3},3.0,When This Card enters the battlefield  attach it to target creature you control. Equipped creature gets +3/+1. Equip—Sacrifice an artifact.,0.09,mbs
7883,Griffin Canyon,_,0.0,{T}: Add {C}. {T}: Untap target Griffin. If it's a creature  it gets +1/+1 until end of turn.,18.05,vis
7884,Treetop Bracers,{1}{G},2.0,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.) Enchanted creature gets +1/+1 and can't be blocked except by creatures with flying.,0.09,10e
7885,Navigation Orb,{3},3.0,{2}  {T}  Sacrifice This Card: Search your library for up to two basic land cards and/or Gate cards  reveal those cards  put one onto the battlefield tapped and the other into your hand  then shuffle.,0.25,clb
7886,Living Destiny,{3}{G},4.0,As an additional cost to cast this spell  reveal a creature card from your hand. You gain life equal to the revealed card's mana value.,0.04,roe
7887,Slash the Ranks,{3}{W}{W},5.0,Destroy all creatures and planeswalkers except for commanders.,0.46,cmr
7888,Mimic,{2},2.0,{T}  Sacrifice This Card: Add one mana of any color. {2}: This Card becomes a Shapeshifter artifact creature with base power and toughness 3/3 until end of turn.,0.02,afr
7889,Visions of Duplicity,{2}{U},3.0,Exchange control of two target creatures you don't control. Flashback {8}{U}{U}. This spell costs {X} less to cast this way  where X is the greatest mana value of a commander you own on the battlefield or in the command zone. (You may cast this card from your graveyard for its flashback cost. Then exile it.),0.14,mic
7890,Mentor's Guidance,{2}{U},3.0,When you cast this spell  copy it if you control a planeswalker  Cleric  Druid  Shaman  Warlock  or Wizard. Scry 1  then draw a card.,0.09,stx
7891,One with Nothing,{B},1.0,Discard your hand.,1.48,sok
7892,Nissa's Revelation,{5}{G}{G},7.0,Scry 5  then reveal the top card of your library. If it's a creature card  you draw cards equal to its power and you gain life equal to its toughness.,0.25,gnt
7893,Whirlwind Denial,{2}{U},3.0,For each spell and ability your opponents control  counter it unless its controller pays {4}.,0.05,thb
7894,Volcanic Wind,{4}{R}{R},6.0,This Card deals X damage divided as you choose among any number of target creatures  where X is the number of creatures on the battlefield as you cast this spell.,0.25,mmq
7895,Witching Well,{U},1.0,When This Card enters the battlefield  scry 2. (Look at the top two cards of your library  then put any number of them on the bottom of your library and the rest on top in any order.) {3}{U}  Sacrifice This Card: Draw two cards.,0.07,eld
7896,Honor-Worn Shaku,{3},3.0,{T}: Add {C}. Tap an untapped legendary permanent you control: Untap This Card.,0.40,dmc
7897,Give No Ground,{3}{W},4.0,Target creature gets +2/+6 until end of turn and can block any number of creatures this turn.,0.05,emn
7898,Shimmering Grotto,_,0.0,{T}: Add {C}. {1}  {T}: Add one mana of any color.,0.09,ima
7899,Barkshell Blessing,{G/W},1.0,Target creature gets +2/+2 until end of turn. Conspire (As you cast this spell  you may tap two untapped creatures you control that share a color with it. When you do  copy it and you may choose a new target for the copy.),0.11,shm
7900,Suspension Field,{1}{W},2.0,When This Card enters the battlefield  you may exile target creature with toughness 3 or greater until This Card leaves the battlefield. (That creature returns under its owner's control.),0.05,ktk
7901,Moratorium Stone,{1},1.0,{2}  {T}: Exile target card from a graveyard. {2}{W}{B}  {T}  Sacrifice This Card: Exile target nonland card from a graveyard  all other cards from graveyards with the same name as that card  and all permanents with that name.,0.24,gpt
7902,Extract Brain,{X}{U}{B},2.0,Target opponent chooses X cards from their hand. Look at those cards. You may cast a spell from among them without paying its mana cost.,0.24,afc
7903,Ghost Ark,{4},4.0,Flying Repair Barge — Whenever This Card becomes crewed  each artifact creature card in your graveyard gains unearth {3} until end of turn. Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.),0.98,40k
7904,Rewind,{2}{U}{U},4.0,Counter target spell. Untap up to four lands.,0.19,m21
7905,Intervention of Keranos,_,0.0,At the beginning of combat this turn  This Card deals 3 damage to each creature.,2.02,tbth
7906,Tamiyo's Safekeeping,{G},1.0,"Target permanent you control gains hexproof and indestructible until end of turn. You gain 2 life. (A permanent with hexproof and indestructible can't be the target of spells or abilities your opponents control. Damage and effects that say ""destroy"" don't destroy it.)",0.82,neo
7907,Briber's Purse,{X},0.0,This Card enters the battlefield with X gem counters on it. {1}  {T}  Remove a gem counter from This Card: Target creature can't attack or block this turn.,0.10,ktk
7908,Red Elemental Blast,{R},1.0,Choose one — • Counter target blue spell. • Destroy target blue permanent.,5.91,a25
7909,Field Research,{2}{U},3.0,Kicker {2}{U} (You may pay an additional {2}{U} as you cast this spell.) Draw two cards. If this spell was kicked  draw three cards instead.,0.03,znr
7910,Overwhelming Remorse,{4}{B},5.0,This spell costs {1} less to cast for each creature card in your graveyard. Exile target creature or planeswalker.,0.82,bro
7911,Nature's Cloak,{2}{G},3.0,Green creatures you control gain forestwalk until end of turn. (They can't be blocked as long as defending player controls a Forest.),10.50,s99
7912,Call to Serve,{1}{W},2.0,Enchant nonblack creature Enchanted creature gets +1/+2  has flying  and is an Angel in addition to its other types.,0.10,avr
7913,Thundering Rebuke,{1}{R},2.0,This Card deals 4 damage to target creature or planeswalker.,0.05,znr
7914,Mistveil Plains,_,0.0,({T}: Add {W}.) This Card enters the battlefield tapped. {W}  {T}: Put target card from your graveyard on the bottom of your library. Activate only if you control two or more white permanents.,1.75,uma
7915,Introductions Are in Order,_,0.0,When you set this scheme in motion  choose one — • Search your library for a creature card  reveal it  put it into your hand  then shuffle. • You may put a creature card from your hand onto the battlefield.,0.77,oarc
7916,Jace's Erasure,{1}{U},2.0,Whenever you draw a card  you may have target player mill a card.,0.26,m12
7917,Soul Link,{1}{W}{B},3.0,Enchant creature Whenever enchanted creature deals damage  you gain that much life. Whenever enchanted creature is dealt damage  you gain that much life.,0.15,apc
7918,Leyline of Lightning,{2}{R}{R},4.0,If This Card is in your opening hand  you may begin the game with it on the battlefield. Whenever you cast a spell  you may pay {1}. If you do  This Card deals 1 damage to target player or planeswalker.,0.29,gpt
7919,Zombify,{3}{B},4.0,Return target creature card from your graveyard to the battlefield.,0.23,a25
7920,Trickery Charm,{U},1.0,Choose one — • Target creature gains flying until end of turn. • Target creature becomes the creature type of your choice until end of turn. • Look at the top four cards of your library  then put them back in any order.,0.22,ons
7921,Spectral Deluge,{4}{U}{U},6.0,Return each creature your opponents control with toughness X or less to its owner's hand  where X is the number of Islands you control. Foretell {1}{U}{U} (During your turn  you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.),0.87,khc
7922,Thoughts of Ruin,{2}{R}{R},4.0,Each player sacrifices a land for each card in your hand.,0.65,sok
7923,Mind Harness,{U},1.0,Enchant red or green creature Cumulative upkeep {1} (At the beginning of your upkeep  put an age counter on this permanent  then sacrifice it unless you pay its upkeep cost for each age counter on it.) You control enchanted creature.,0.25,mir
7924,Lightning Coils,{3},3.0,Whenever a nontoken creature you control dies  put a charge counter on This Card. At the beginning of your upkeep  if This Card has five or more charge counters on it  remove all of them from it and create that many 3/1 red Elemental creature tokens with haste. Exile them at the beginning of the next end step.,0.71,mrd
7925,Tember City,_,0.0,Whenever a player taps a land for mana  This Card deals 1 damage to that player. Whenever you roll {CHAOS}  each other player sacrifices a nonland permanent.,2.75,opca
7926,Mistform Mask,{1}{U},2.0,Enchant creature {1}: Enchanted creature becomes the creature type of your choice until end of turn.,0.10,ons
7927,Waxing Moon,{1}{G},2.0,Transform up to one target Werewolf you control. Creatures you control gain trample until end of turn.,0.14,emn
7928,Magnetic Mine,{4},4.0,Whenever another artifact is put into a graveyard from the battlefield  This Card deals 2 damage to that artifact's controller.,0.46,mbs
7929,Saproling Migration,{1}{G},2.0,Kicker {4} (You may pay an additional {4} as you cast this spell.) Create two 1/1 green Saproling creature tokens. If this spell was kicked  create four of those tokens instead.,0.15,dom
7930,Five-Finger Discount,{4}{U}{U},6.0,Put target nonland permanent into your hand. You may spend mana as though it were mana of any color the next time you cast that card.,0.11,ust
7931,Semblance Anvil,{3},3.0,Imprint — When This Card enters the battlefield  you may exile a nonland card from your hand. Spells you cast that share a card type with the exiled card cost {2} less to cast.,4.91,som
7932,Faerie Trickery,{1}{U}{U},3.0,Counter target non-Faerie spell. If that spell is countered this way  exile it instead of putting it into its owner's graveyard.,0.27,lrw
7933,Start Your Engines,{3}{R},4.0,Vehicles you control become artifact creatures until end of turn. Creatures you control get +2/+0 until end of turn.,0.08,kld
7934,Ghoulcaller's Harvest,{B}{G},2.0,Create X 2/2 black Zombie creature tokens with decayed  where X is half the number of creature cards in your graveyard  rounded up. (A creature with decayed can't block. When it attacks  sacrifice it at end of combat.) Flashback {3}{B}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.),0.09,mid
7935,Killer Instinct,{4}{R}{G},6.0,At the beginning of your upkeep  reveal the top card of your library. If it's a creature card  put it onto the battlefield. That creature gains haste until end of turn. Sacrifice it at the beginning of the next end step.,0.24,gpt
7936,Rings of Brighthearth,{3},3.0,Whenever you activate an ability  if it isn't a mana ability  you may pay {2}. If you do  copy that ability. You may choose new targets for the copy.,3.84,cmr
7937,Memory Lapse,{1}{U},2.0,Counter target spell. If that spell is countered this way  put it on top of its owner's library instead of into that player's graveyard.,0.24,ema
7938,Sunbringer's Touch,{2}{G}{G},4.0,Bolster X  where X is the number of cards in your hand. Each creature you control with a +1/+1 counter on it gains trample until end of turn. (To bolster X  choose a creature with the least toughness among creatures you control and put X +1/+1 counters on it.),0.16,dtk
7939,Spiteful Shadows,{1}{B},2.0,Enchant creature Whenever enchanted creature is dealt damage  it deals that much damage to its controller.,0.07,dka
7940,Savage Silhouette,{2}{G},3.0,"Enchant creature Enchanted creature gets +2/+2 and has ""{1}{G}: Regenerate this creature.""",0.06,zen
7941,Sulfur Vent,_,0.0,This Card enters the battlefield tapped. {T}: Add {B}. {T}  Sacrifice This Card: Add {U}{R}.,0.22,inv
7942,Sap Sucker,_,0.0,Whenever you crank This Card  add {G}. Until end of turn  you don't lose this mana as steps and phases end.,0.09,ust
7943,Righteous Blow,{W},1.0,This Card deals 2 damage to target attacking or blocking creature.,0.01,grn
7944,Pact Weapon,{3}{B},4.0,As long as This Card is attached to a creature  you don't lose the game for having 0 or less life. Whenever equipped creature attacks  draw a card and reveal it. The creature gets +X/+X until end of turn and you lose X life  where X is that card's mana value. Equip—Discard a card.,1.13,clb
7945,Reaper's Talisman,{B},1.0,Whenever equipped creature attacks  it gains deathtouch until end of turn. Whenever equipped creature attacks alone  defending player loses 2 life and you gain 2 life. Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.),0.08,afr
7946,Fold into Aether,{2}{U}{U},4.0,Counter target spell. If that spell is countered this way  its controller may put a creature card from their hand onto the battlefield.,0.14,5dn
7947,Flames of the Firebrand,{2}{R},3.0,This Card deals 3 damage divided as you choose among one  two  or three targets.,0.09,jmp
7948,Stitch Together,{B}{B},2.0,Return target creature card from your graveyard to your hand. Threshold — Return that card from your graveyard to the battlefield instead if seven or more cards are in your graveyard.,3.75,c18
7949,Darksteel Reactor,{4},4.0,"Indestructible (Effects that say ""destroy"" don't destroy this artifact.) At the beginning of your upkeep  you may put a charge counter on This Card. When This Card has twenty or more charge counters on it  you win the game.",9.80,dst
7950,Threefold Signal,{3},3.0,When This Card enters the battlefield  scry 3. Each spell you cast that's exactly three colors has replicate {3}. (When you cast it  copy it for each time you paid its replicate cost. You may choose new targets for the copies. A copy of a permanent spell becomes a token.),0.40,ncc
7951,Spreading Insurrection,{4}{R},5.0,Gain control of target creature you don't control until end of turn. Untap that creature. It gains haste until end of turn. Storm (When you cast this spell  copy it for each spell cast before it this turn. You may choose new targets for the copies.),0.02,mh2
7952,Last Kiss,{2}{B},3.0,This Card deals 2 damage to target creature and you gain 2 life.,0.08,ddm
7953,Flatten,{3}{B},4.0,Target creature gets -4/-4 until end of turn.,0.01,dtk
7954,Thassa's Rebuff,{1}{U},2.0,Counter target spell unless its controller pays {X}  where X is your devotion to blue. (Each {U} in the mana costs of permanents you control counts toward your devotion to blue.),0.16,bng
7955,Serpent Skin,{2}{G},3.0,Flash Enchant creature Enchanted creature gets +1/+1. {G}: Regenerate enchanted creature.,0.17,chk
7956,Vanguard's Shield,{2},2.0,Equipped creature gets +0/+3 and can block an additional creature each combat. Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.),0.11,avr
7957,Justice Strike,{R}{W},2.0,Target creature deals damage to itself equal to its power.,0.16,grn
7958,Brute Suit,{3},3.0,Vigilance Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.),0.02,neo
7959,Torrent of Stone,{3}{R},4.0,This Card deals 4 damage to target creature. Splice onto Arcane—Sacrifice two Mountains. (As you cast an Arcane spell  you may reveal this card from your hand and pay its splice cost. If you do  add this card's effects to that spell.),0.10,mma
7960,Withercrown,{1}{B},2.0,"Enchant creature Enchanted creature has base power 0 and has ""At the beginning of your upkeep  you lose 1 life unless you sacrifice this creature.""",0.03,khm
7961,Gird for Battle,{W},1.0,Put a +1/+1 counter on each of up to two target creatures.,0.13,jmp
7962,Skillful Lunge,{1}{W},2.0,Target creature gets +2/+0 and gains first strike until end of turn.,0.04,dka
7963,Tread Mill,_,0.0,Whenever you crank This Card  until end of turn  target creature gets +1/+2  gains vigilance  and becomes an artifact in addition to its other types.,0.13,ust
7964,King Harald's Revenge,{2}{G},3.0,Until end of turn  target creature gets +1/+1 for each creature you control and gains trample. It must be blocked this turn if able.,0.01,khm
7965,Syphon Flesh,{4}{B},5.0,Each other player sacrifices a creature. You create a 2/2 black Zombie creature token for each creature sacrificed this way.,0.14,mic
7966,Cyclical Evolution,{3}{G}{G},5.0,Target creature gets +3/+3 until end of turn. Exile This Card with three time counters on it. Suspend 3—{2}{G} (Rather than cast this card from your hand  you may pay {2}{G} and exile it with three time counters on it. At the beginning of your upkeep  remove a time counter. When the last is removed  cast it without paying its mana cost.),0.09,fut
7967,Consulate Dreadnought,{1},1.0,Crew 6 (Tap any number of creatures you control with total power 6 or more: This Vehicle becomes an artifact creature until end of turn.),0.35,aer
7968,By Gnome Means,{2}{W},3.0,{1}{W}  Remove a counter from a permanent you control: Create a 1/1 colorless Gnome artifact creature token. {1}{W}  Sacrifice an artifact: Choose any kind of counter a printed card refers to  then put one of that counter on target permanent.,0.19,ust
7969,Alrund's Epiphany,{5}{U}{U},7.0,Create two 1/1 blue Bird creature tokens with flying. Take an extra turn after this one. Exile This Card. Foretell {4}{U}{U} (During your turn  you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.),2.87,khm
7970,Rouse the Mob,{R},1.0,Strive — This spell costs {2}{R} more to cast for each target beyond the first. Any number of target creatures each get +2/+0 and gain trample until end of turn.,0.08,jou
7971,Kaya's Wrath,{W}{W}{B}{B},4.0,Destroy all creatures. You gain life equal to the number of creatures you controlled that were destroyed this way.,0.25,dmc
7972,Testament of Faith,{W},1.0,{X}: This Card becomes an X/X Wall creature with defender in addition to its other types until end of turn.,0.21,ody
7973,Leyline of Singularity,{2}{U}{U},4.0,If This Card is in your opening hand  you may begin the game with it on the battlefield. All nonland permanents are legendary.,3.00,gpt
7974,Giant's Grasp,{2}{U}{U},4.0,Enchant Giant you control When This Card enters the battlefield  gain control of target nonland permanent for as long as This Card remains on the battlefield.,0.10,khm
7975,March of Souls,{4}{W},5.0,Destroy all creatures. They can't be regenerated. For each creature destroyed this way  its controller creates a 1/1 white Spirit creature token with flying.,6.73,pls
7976,Energy Vortex,{3}{U}{U},5.0,As This Card enters the battlefield  choose an opponent. At the beginning of your upkeep  remove all vortex counters from This Card. At the beginning of the chosen player's upkeep  This Card deals 3 damage to that player unless they pay {1} for each vortex counter on This Card. {X}: Put X vortex counters on This Card. Activate only during your upkeep.,1.45,mir
7977,"Sarkhan, the Dragonspeaker Emblem",_,0.0,At the beginning of your draw step  draw two additional cards. At the beginning of your end step  discard your hand.,0.20,tktk
7978,Chill to the Bone,{3}{B},4.0,Destroy target nonsnow creature.,0.10,csp
7979,Jet Medallion,{2},2.0,Black spells you cast cost {1} less to cast.,33.82,c14
7980,Excavation Technique,{3}{W},4.0,Demonstrate (When you cast this spell  you may copy it. If you do  choose an opponent to also copy it. Players may choose new targets for their copies.) Destroy target nonland permanent. Its controller creates two Treasure tokens.,0.11,c21
7981,Axgard Armory,_,0.0,This Card enters the battlefield tapped. {T}: Add {W}. {1}{R}{R}{W}  {T}  Sacrifice This Card: Search your library for an Aura card and/or an Equipment card  reveal them  put them into your hand  then shuffle.,0.25,khm
7982,Bog Wreckage,_,0.0,This Card enters the battlefield tapped. {T}: Add {B}. {T}  Sacrifice This Card: Add one mana of any color.,0.11,ody
7983,Bedevil,{B}{B}{R},3.0,Destroy target artifact  creature  or planeswalker.,0.38,dmc
7984,An Incident Has Occurred,{1}{G},2.0,Choose one or both — • Destroy target creature with flying. • Destroy target Attraction. (It's put into its owner's junkyard.) You may apologize. If you do  you gain 3 life.,0.03,unf
7985,Glare of Subdual,{2}{G}{W},4.0,Tap an untapped creature you control: Tap target artifact or creature.,0.57,ema
7986,Brokers Hideout,_,0.0,When This Card enters the battlefield  sacrifice it. When you do  search your library for a basic Forest  Plains  or Island card  put it onto the battlefield tapped  then shuffle and you gain 1 life.,0.33,snc
7987,Morphic Pool,_,0.0,This Card enters the battlefield tapped unless you have two or more opponents. {T}: Add {U} or {B}.,7.55,clb
7988,Liliana's Mastery,{3}{B}{B},5.0,Zombies you control get +1/+1. When This Card enters the battlefield  create two 2/2 black Zombie creature tokens.,0.25,mic
7989,Despark,{W}{B},2.0,Exile target permanent with mana value 4 or greater.,0.22,clb
7990,Flesh Allergy,{2}{B}{B},4.0,As an additional cost to cast this spell  sacrifice a creature. Destroy target creature. Its controller loses life equal to the number of creatures that died this turn.,0.10,som
7991,Surge of Strength,{R}{G},2.0,As an additional cost to cast this spell  discard a red or green card. Target creature gains trample and gets +X/+0 until end of turn  where X is that creature's mana value.,0.15,all
7992,Mammoth Growth,{2}{G},3.0,Target creature gets +4/+4 until end of turn. Foretell {G} (During your turn  you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.),0.01,khm
7993,Storm the Citadel,{4}{G},5.0,"Until end of turn  creatures you control get +2/+2 and gain ""Whenever this creature deals combat damage to a player or planeswalker  destroy target artifact or enchantment defending player controls.""",0.03,war
7994,Strider Harness,{3},3.0,Equipped creature gets +1/+1 and has haste. Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.),0.03,rix
7995,Lavabrink Floodgates,{3}{R},4.0,{T}: Add {R}{R}. At the beginning of each player's upkeep  that player may put a doom counter on This Card or remove a doom counter from it. Then if it has three or more doom counters on it  sacrifice This Card. When you do  it deals 6 damage to each creature.,0.19,c20
7996,Blood Reckoning,{3}{B},4.0,Whenever a creature attacks you or a planeswalker you control  that creature's controller loses 1 life.,0.25,m13
7997,Gaea's Blessing,{1}{G},2.0,Target player shuffles up to three target cards from their graveyard into their library. Draw a card. When This Card is put into your graveyard from your library  shuffle your graveyard into your library.,0.25,dom
7998,Battlemage's Bracers,{2}{R},3.0,Equipped creature has haste. Whenever an ability of equipped creature is activated  if it isn't a mana ability  you may pay {1}. If you do  copy that ability. You may choose new targets for the copy. Equip {2},0.99,c21
7999,Turn the Tables,{3}{W}{W},5.0,All combat damage that would be dealt to you this turn is dealt to target attacking creature instead.,0.23,dst
8000,Butcher's Glee,{2}{B},3.0,Target creature gets +3/+0 and gains lifelink until end of turn. Regenerate it. (Damage dealt by a creature with lifelink also causes its controller to gain that much life.),0.07,ima
8001,Peer Pressure,{3}{U},4.0,Choose a creature type. If you control more creatures of that type than each other player  you gain control of all creatures of that type. (This effect lasts indefinitely.),0.89,ons
8002,Volcanic Fallout,{1}{R}{R},3.0,This spell can't be countered. This Card deals 2 damage to each creature and each player.,0.09,cmr
8003,Lucid Dreams,{3}{U}{U},5.0,Draw X cards  where X is the number of card types among cards in your graveyard.,0.02,mh2
8004,Stolen Vitality,{1}{R},2.0,Target creature gets +3/+1 until end of turn. If it's your turn  that creature gains trample until end of turn. Otherwise  it gains first strike until end of turn.,0.01,mid
8005,Barrin's Unmaking,{1}{U},2.0,Return target permanent to its owner's hand if that permanent shares a color with the most common color among all permanents or a color tied for most common.,0.08,inv
8006,Letter Bomb,{6},6.0,When This Card enters the battlefield  sign it and shuffle it into target player's library. That player reveals each card they draw until they draw This Card. When that player draws This Card  it deals 19½ damage to them.,2.22,unh
8007,Crystal Ball,{3},3.0,{1}  {T}: Scry 2. (Look at the top two cards of your library  then put any number of them on the bottom of your library and the rest on top in any order.),0.43,c18
8008,Erase (Not the Urza's Legacy One),{2}{W},3.0,If you control two or more white permanents that share an artist  you may cast this spell without paying its mana cost. Exile target enchantment.,0.15,unh
8009,Staff of the Sun Magus,{3},3.0,Whenever you cast a white spell or a Plains enters the battlefield under your control  you gain 1 life.,0.13,m15
8010,Dragon's Claw,{2},2.0,Whenever a player casts a red spell  you may gain 1 life.,0.21,m12
8011,Karplusan Forest,_,0.0,{T}: Add {C}. {T}: Add {R} or {G}. This Card deals 1 damage to you.,1.53,dmu
8012,Sage's Reverie,{3}{W},4.0,Enchant creature When This Card enters the battlefield  draw a card for each Aura you control that's attached to a creature. Enchanted creature gets +1/+1 for each Aura you control that's attached to a creature.,0.42,c18
8013,Human Frailty,{B},1.0,Destroy target Human creature.,0.10,ddq
8014,Executioner's Swing,{W}{B},2.0,Target creature that dealt damage this turn gets -5/-5 until end of turn.,0.03,gtc
8015,Oblivion Ring,{2}{W},3.0,When This Card enters the battlefield  exile another target nonland permanent. When This Card leaves the battlefield  return the exiled card to the battlefield under its owner's control.,0.26,mm2
8016,Hideous Visage,{2}{B},3.0,Creatures you control gain intimidate until end of turn. (Each of those creatures can't be blocked except by artifact creatures and/or creatures that share a color with it.),0.09,m12
8017,Manalith,{3},3.0,{T}: Add one mana of any color.,1.00,gnt
8018,Illusory Wrappings,{2}{U},3.0,Enchant creature Enchanted creature has base power and toughness 0/2.,0.05,akh
8019,Volition Reins,{3}{U}{U}{U},6.0,Enchant permanent When This Card enters the battlefield  if enchanted permanent is tapped  untap it. You control enchanted permanent.,0.13,som
8020,Naturalize,{1}{G},2.0,Destroy target artifact or enchantment.,0.07,m19
8021,Song of Inspiration,{3}{G}{G},5.0,Choose up to two target permanent cards in your graveyard. Roll a d20 and add the total mana value of those cards. 1—14 | Return those cards to your hand. 15+ | Return those cards to your hand. You gain life equal to their total mana value.,0.13,afc
8022,Cultist of the Absolute,{B},1.0,"Commander creatures you own get +3/+3 and have flying  deathtouch  ""Ward—Pay 3 life "" and ""At the beginning of your upkeep  sacrifice a creature.""",0.22,clb
8023,Veiled Crocodile,{2}{U},3.0,When a player has no cards in hand  if This Card is an enchantment  This Card becomes a 4/4 Crocodile creature.,0.26,usg
8024,Zombie Infestation,{1}{B},2.0,Discard two cards: Create a 2/2 black Zombie creature token.,0.13,jmp
8025,Springleaf Drum,{1},1.0,{T}  Tap an untapped creature you control: Add one mana of any color.,2.34,2xm
8026,Whirlermaker,{3},3.0,{4}  {T}: Create a 1/1 colorless Thopter artifact creature token with flying.,0.09,kld
8027,Muzzle,{1}{W},2.0,Enchant creature Prevent all damage that would be dealt by enchanted creature.,0.17,mmq
8028,Tourach's Chant,{1}{B}{B},3.0,At the beginning of your upkeep  sacrifice This Card unless you pay {B}. Whenever a player puts a Forest onto the battlefield  This Card deals 3 damage to that player unless they put a -1/-1 counter on a creature they control.,0.18,fem
8029,Cunning Wish,{2}{U},3.0,You may reveal an instant card you own from outside the game and put it into your hand. Exile This Card.,5.80,jud
8030,Smoldering Crater,_,0.0,This Card enters the battlefield tapped. {T}: Add {R}. Cycling {2} ({2}  Discard this card: Draw a card.),0.16,c20
8031,Vicious Betrayal,{3}{B}{B},5.0,As an additional cost to cast this spell  sacrifice any number of creatures. Target creature gets +2/+2 until end of turn for each creature sacrificed this way.,0.08,5dn
8032,Artificer's Intuition,{1}{U},2.0,{U}  Discard an artifact card: Search your library for an artifact card with mana value 1 or less  reveal it  put it into your hand  then shuffle.,3.02,5dn
8033,Trudge Garden,{2}{G},3.0,Whenever you gain life  you may pay {2}. If you do  create a 4/4 green Fungus Beast creature token with trample.,0.39,c21
8034,Vampire Champion Fury,_,0.0,{TK}{TK} — Hellbent — This creature gets +3/+3 as long as you have no cards in hand. {TK}{TK}{TK}{TK} — {2}  Sacrifice this creature: It deals X damage divided as you choose among any number of target creatures  where X is its power. {TK}{TK} — 1/5 {TK}{TK}{TK} — 6/3,0.32,sunf
8035,Alliance of Arms,{W},1.0,Join forces — Starting with you  each player may pay any amount of mana. Each player creates X 1/1 white Soldier creature tokens  where X is the total amount of mana paid this way.,5.49,cmd
8036,Marrow Shards,{W/P},1.0,({W/P} can be paid with either {W} or 2 life.) This Card deals 1 damage to each attacking creature.,0.15,nph
8037,Bubble Snare,{U},1.0,Kicker {2}{U} (You may pay an additional {2}{U} as you cast this spell.) Enchant creature When This Card enters the battlefield  if it was kicked  tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step.,0.02,znr
8038,Ominous Parcel,{1},1.0,{2}  {T}  Sacrifice This Card: Search your library for a basic land card  reveal it  put it into your hand  then shuffle. {5}  {T}  Sacrifice This Card: It deals 4 damage to target creature.,0.01,snc
8039,Doubling Chant,{5}{G},6.0,For each creature you control  you may search your library for a creature card with the same name as that creature. Put those cards onto the battlefield  then shuffle.,0.29,m12
8040,Khalni Heart Expedition,{1}{G},2.0,Landfall — Whenever a land enters the battlefield under your control  you may put a quest counter on This Card. Remove three quest counters from This Card and sacrifice it: Search your library for up to two basic land cards  put them onto the battlefield tapped  then shuffle.,0.24,cmr
8041,Otherworldly Gaze,{U},1.0,Surveil 3. (Look at the top three cards of your library  then put any number of them into your graveyard and the rest on top of your library in any order.) Flashback {1}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.),0.23,mid
8042,Chaotic Backlash,{4}{R},5.0,This Card deals damage to target player equal to twice the number of white and/or blue permanents they control.,0.15,eve
8043,Tidal Surge,{1}{U},2.0,Tap up to three target creatures without flying.,0.05,6ed
8044,Dictate of Kruphix,{1}{U}{U},3.0,Flash At the beginning of each player's draw step  that player draws an additional card.,2.13,c18
8045,Strength of the Pack,{4}{G}{G},6.0,Put two +1/+1 counters on each creature you control.,0.03,cmr
8046,Grim Discovery,{1}{B},2.0,Choose one or both — • Return target creature card from your graveyard to your hand. • Return target land card from your graveyard to your hand.,0.15,ddr
8047,Dirge of Dread,{2}{B},3.0,All creatures gain fear until end of turn. (They can't be blocked except by artifact creatures and/or black creatures.) Cycling {1}{B} ({1}{B}  Discard this card: Draw a card.) When you cycle This Card  you may have target creature gain fear until end of turn.,0.06,a25
